iter	RMSE
0	0.9579056911
1	0.9281312796
2	0.9021848122
3	0.8754350421
4	0.8573940333
5	0.8364965892
6	0.8230416541
7	0.8075921268
8	0.796689409
9	0.785067557
10	0.7772959774
11	0.7686394185
12	0.7604219508
13	0.7556029616
14	0.749648676
15	0.7459963081
16	0.7421832219
17	0.7377781317
18	0.7351681819
19	0.7317138205
20	0.7293095171
21	0.7263450454
22	0.7245549362
23	0.7224379265
24	0.7209008879
25	0.7199887662
26	0.718272785
27	0.7168617899
28	0.7153830525
29	0.7136468215
30	0.7126620742
31	0.7110181069
32	0.709721839
33	0.7092016271
34	0.7079924306
35	0.7072768489
36	0.7062337726
37	0.7055208036
38	0.7045096629
39	0.703594279
40	0.7026679244
41	0.7022508465
42	0.7018443511
43	0.7013804134
44	0.7011109128
45	0.7008439489
46	0.6999952091
47	0.6992633761
48	0.6986636968
49	0.6977078752
50	0.6973149162
51	0.6965359625
52	0.6959035163
53	0.6956680673
54	0.6950837994
55	0.6945063873
56	0.6939526946
57	0.693759812
58	0.6933792693
59	0.6928815852
60	0.6922973599
61	0.6919007173
62	0.6917033923
63	0.6914372607
64	0.6911160772
65	0.6910151078
66	0.6909052994
67	0.690586476
68	0.6903662557
69	0.6902752278
70	0.6902413783
71	0.6898174551
72	0.6896336368
73	0.6895141418
74	0.6893982561
75	0.6889542932
76	0.6888170428
77	0.6886410778
78	0.6882808201
79	0.6879118352
80	0.6877844766
81	0.6876222291
82	0.6874944165
83	0.6872594652
84	0.6871250979
85	0.686859673
86	0.6868125051
87	0.6863424045
88	0.6861868767
89	0.6860138014
90	0.6858622496
91	0.6857368226
92	0.685599312
93	0.6855410086
94	0.6854062126
95	0.6851830598
96	0.6850146967
97	0.6847712173
98	0.684478543
99	0.6842358051
100	0.6841495289
101	0.6839800242
102	0.683742807
103	0.6837183516
104	0.6835754377
105	0.6835020103
106	0.6834280729
107	0.6833041376
108	0.6831072946
109	0.6829750686
110	0.6827206293
111	0.6824135329
112	0.6823537016
113	0.6822112136
114	0.6821178732
115	0.6819870543
116	0.6818548797
117	0.6817862282
118	0.6815956596
119	0.6813191726
120	0.6811903666
121	0.6810177101
122	0.6809058193
123	0.6807991454
124	0.6807211935
125	0.680450661
126	0.680263273
127	0.6801180674
128	0.6800714021
129	0.6799702643
130	0.6798955171
131	0.6797796059
132	0.6796678623
133	0.6795731559
134	0.6795256744
135	0.6794083399
136	0.6792268371
137	0.6790422079
138	0.6789251695
139	0.6788127599
140	0.6787509973
141	0.6784335997
142	0.6783536424
143	0.6782418054
144	0.6782017023
145	0.6780497331
146	0.6779746543
147	0.6779075538
148	0.6777834858
149	0.6777154124
150	0.6775971738
151	0.6774669794
152	0.6773883226
153	0.6773188995
154	0.6771411008
155	0.677037361
156	0.6769821151
157	0.6769469102
158	0.6769100309
159	0.6768428427
160	0.6767870408
161	0.6767568458
162	0.6766902751
163	0.6764944267
164	0.6764297159
165	0.6763318081
166	0.6762161063
167	0.67612041
168	0.6760278547
169	0.6759480453
170	0.6758880692
171	0.675788323
172	0.6757118375
173	0.6756675897
174	0.6756033898
175	0.6755099907
176	0.6754520436
177	0.6753730055
178	0.6753083921
179	0.6752538404
180	0.67521603
181	0.6751621082
