iter	Passed	Remaining
0	33	33215
1	49	24808
2	73	24273
3	90	22425
4	117	23314
5	144	23935
6	175	24943
7	195	24199
8	231	25461
9	268	26541
10	294	26449
11	323	26646
12	354	26886
13	382	26944
14	411	27022
15	453	27909
16	467	27047
17	480	26218
18	495	25558
19	525	25767
20	539	25154
21	570	25348
22	587	24958
23	610	24845
24	628	24508
25	664	24899
26	695	25070
27	721	25034
28	749	25096
29	785	25401
30	807	25241
31	842	25481
32	884	25919
33	914	25970
34	941	25957
35	969	25974
36	1000	26037
37	1027	26015
38	1052	25934
39	1081	25947
40	1109	25960
41	1137	25946
42	1164	25926
43	1202	26131
44	1216	25826
45	1231	25542
46	1247	25291
47	1259	24970
48	1286	24959
49	1310	24903
50	1336	24862
51	1352	24650
52	1371	24507
53	1396	24465
54	1425	24499
55	1456	24559
56	1486	24599
57	1511	24541
58	1541	24580
59	1567	24552
60	1594	24540
61	1621	24534
62	1651	24564
63	1685	24648
64	1716	24693
65	1745	24703
66	1772	24677
67	1800	24684
68	1834	24750
69	1854	24644
70	1864	24399
71	1883	24274
72	1908	24241
73	1934	24211
74	1965	24238
75	1990	24198
76	2017	24181
77	2043	24158
78	2068	24119
79	2095	24094
80	2107	23916
81	2120	23744
82	2133	23567
83	2146	23403
84	2159	23249
85	2174	23106
86	2198	23071
87	2225	23065
88	2241	22946
89	2258	22839
90	2290	22875
91	2306	22768
92	2326	22692
93	2350	22652
94	2363	22519
95	2377	22386
96	2398	22328
97	2411	22196
98	2437	22182
99	2451	22061
100	2478	22062
101	2495	21970
102	2515	21908
103	2534	21837
104	2560	21822
105	2585	21805
106	2610	21789
107	2629	21717
108	2655	21703
109	2696	21819
110	2725	21828
111	2758	21871
112	2786	21874
113	2806	21813
114	2827	21759
115	2852	21739
116	2878	21724
117	2922	21842
118	2950	21845
119	2978	21840
120	3004	21823
121	3030	21812
122	3054	21775
123	3085	21795
124	3110	21772
125	3147	21835
126	3173	21813
127	3199	21795
128	3219	21739
129	3248	21737
130	3279	21756
131	3302	21714
132	3326	21685
133	3357	21699
134	3386	21696
135	3418	21714
136	3445	21701
137	3471	21681
138	3499	21673
139	3525	21659
140	3555	21660
141	3584	21661
142	3617	21678
143	3646	21676
144	3676	21676
145	3706	21677
146	3738	21694
147	3765	21674
148	3793	21668
149	3809	21589
150	3823	21496
151	3842	21438
152	3870	21429
153	3885	21346
154	3916	21351
155	3932	21275
156	3961	21273
157	3977	21194
158	4002	21172
159	4020	21106
160	4043	21071
161	4060	21003
162	4087	20990
163	4113	20966
164	4139	20946
165	4176	20984
166	4203	20968
167	4229	20945
168	4251	20906
169	4277	20886
170	4309	20890
171	4336	20877
172	4363	20861
173	4393	20856
174	4412	20799
175	4422	20704
176	4432	20608
177	4441	20511
178	4451	20418
179	4461	20325
180	4471	20233
181	4481	20141
182	4491	20052
183	4501	19961
184	4510	19869
185	4524	19800
186	4533	19711
187	4543	19626
188	4554	19542
189	4564	19457
190	4574	19374
191	4593	19330
192	4603	19247
193	4613	19167
194	4622	19080
195	4635	19016
196	4650	18954
197	4659	18874
198	4669	18796
199	4678	18715
200	4687	18634
201	4696	18553
202	4705	18475
203	4715	18398
204	4725	18324
205	4738	18262
206	4748	18189
207	4757	18113
208	4766	18039
209	4789	18019
210	4800	17950
211	4810	17879
212	4819	17809
213	4830	17740
214	4839	17669
215	4849	17600
216	4859	17533
217	4868	17465
218	4878	17399
219	4889	17336
220	4900	17273
221	4911	17212
222	4924	17158
223	4934	17093
224	4944	17029
225	4953	16964
226	4963	16901
227	4981	16866
